homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
0,0.5,0,0,r,5,1,0.5294117647058824,St. Louis Cardinals,7.5,39895,0.88,1.068,58.9,10.3,32082,0.6923801169590642,0.575,0.299,0.272,0.303,0.357,0.189
0,1.5,0,0,tb,11,3,0.5294117647058824,St. Louis Cardinals,7.5,39895,0.88,1.068,58.9,10.3,32082,0.6923801169590642,0.575,0.299,0.272,0.303,0.357,0.189
1,0.5,0,0,r,5,3,0.5714285714285714,Milwaukee Brewers,7.5,32532,1.32,0.937,58.9,10.3,33950,4.10322641509434,0.716,0.31,0.223,0.263,0.297,0.385
1,1.5,0,0,tb,9,2,0.5,Milwaukee Brewers,7.5,32532,1.32,0.937,58.9,10.3,33950,4.10322641509434,0.716,0.31,0.223,0.263,0.297,0.385
0,0.5,0,0,r,6,2,0.47058823529411764,St. Louis Cardinals,7.5,33675,0.88,0.894,58.9,10.3,32082,0.6923801169590642,0.575,0.246,0.256,0.26,0.21,0.186
0,0.5,1,0,tb,14,4,0.7058823529411765,St. Louis Cardinals,7.5,33675,0.88,0.894,58.9,10.3,32082,0.6923801169590642,0.575,0.246,0.256,0.26,0.21,0.186
0,0.5,0,0,r,4,2,0.3888888888888889,Atlanta Braves,9.5,4719324,1.52,0.632,58.9,9.2,4917634,5.707,0.593,0.225,0.262,0.244,0.244,0.182
0,0.5,1,0,tb,11,3,0.6666666666666666,Atlanta Braves,9.5,4719324,1.52,0.632,58.9,9.2,4917634,5.707,0.593,0.225,0.262,0.244,0.244,0.182
1,0.5,1,0,r,5,2,0.47058823529411764,Toronto Blue Jays,8.0,31606,1.62,0.537,70.1,10.3,33148,4.861411764705882,0.642,0.313,0.254,0.28,0.278,0.562
1,1.5,1,0,tb,7,0,0.23529411764705882,Toronto Blue Jays,8.0,31606,1.62,0.537,70.1,10.3,33148,4.861411764705882,0.642,0.313,0.254,0.28,0.278,0.562
