homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
1,0.5,0,0,r,3,2,0.2727272727272727,Miami Marlins,8.5,38905,1.45,0.735,51,11.4,40944,1.2069999999999999,0.333,0.197,0.203,0.159,0.205,0.231
1,0.5,0,0,tb,11,5,0.7272727272727273,Miami Marlins,8.5,38905,1.45,0.735,51,11.4,40944,1.2069999999999999,0.333,0.197,0.203,0.159,0.205,0.231
0,0.5,0,0,r,4,3,0.42857142857142855,Cincinnati Reds,9.0,31260,1.47,0.718,49.9,8.1,33249,5.353596858638744,0.685,0.34,0.186,0.212,0.353,0.0
0,1.5,0,0,tb,6,2,0.21428571428571427,Cincinnati Reds,9.0,31260,1.47,0.718,49.9,8.1,33249,5.353596858638744,0.685,0.34,0.186,0.212,0.353,0.0
1,0.5,0,0,r,3,1,0.3333333333333333,Milwaukee Brewers,7.5,41209,1.32,0.459,58.9,10.3,33950,4.10322641509434,0.716,0.271,0.221,0.237,0.266,0.125
1,0.5,1,0,tb,4,1,0.13333333333333333,Milwaukee Brewers,7.5,41209,1.32,0.459,58.9,10.3,33950,4.10322641509434,0.716,0.271,0.221,0.237,0.266,0.125
1,0.5,1,0,r,2,2,0.35294117647058826,Miami Marlins,8.5,33956,1.45,0.689,51,11.4,40944,1.2069999999999999,0.333,0.235,0.216,0.203,0.213,0.333
1,0.5,1,0,tb,8,3,0.5294117647058824,Miami Marlins,8.5,33956,1.45,0.689,51,11.4,40944,1.2069999999999999,0.333,0.235,0.216,0.203,0.213,0.333
0,0.5,0,0,r,6,3,0.5789473684210527,Cincinnati Reds,9.0,30836,1.47,1.004,49.9,8.1,33249,5.353596858638744,0.685,0.215,0.208,0.21,0.138,0.2
0,1.5,0,0,tb,10,1,0.42105263157894735,Cincinnati Reds,9.0,30836,1.47,1.004,49.9,8.1,33249,5.353596858638744,0.685,0.215,0.208,0.21,0.138,0.2
1,0.5,1,0,r,5,2,0.5555555555555556,New York Mets,9.0,33039,1.78,1.131,74.9,2.2,32157,5.1441727748691095,0.643,0.329,0.322,0.303,0.3,0.4
1,1.5,0,0,tb,9,2,0.3333333333333333,New York Mets,9.0,33039,1.78,1.131,74.9,2.2,32157,5.1441727748691095,0.643,0.329,0.322,0.303,0.3,0.4
0,0.5,1,0,r,1,1,0.5,Atlanta Braves,9.5,40538,1.52,0.25,58.9,9.2,4917634,5.707,0.593,0.276,0.192,0.248,0.333,0.053
0,0.5,1,0,tb,1,0,0.0,Atlanta Braves,9.5,40538,1.52,0.25,58.9,9.2,4917634,5.707,0.593,0.276,0.192,0.248,0.333,0.053
0,0.5,0,0,r,1,1,0.07692307692307693,Cleveland Guardians,7.5,40338,1.62,0.428,45.9,11.4,4345278,4.825257261410788,0.445,0.207,0.231,0.222,0.333,0.235
0,0.5,1,0,tb,4,2,0.3076923076923077,Cleveland Guardians,7.5,40338,1.62,0.428,45.9,11.4,4345278,4.825257261410788,0.445,0.207,0.231,0.222,0.333,0.235
1,0.5,0,0,r,2,1,0.15789473684210525,Chicago White Sox,7.5,31187,2.0,0.412,52.1,6.9,4422905,5.457,0.509,0.254,0.2,0.237,0.229,0.195
1,0.5,0,0,tb,7,1,0.3684210526315789,Chicago White Sox,7.5,31187,2.0,0.412,52.1,6.9,4422905,5.457,0.509,0.254,0.2,0.237,0.229,0.195
0,0.5,1,0,r,1,0,0.07692307692307693,Chicago Cubs,8.5,41674,2.1,0.286,51,11.4,33173,7.778428571428571,0.496,0.218,0.162,0.191,0.282,0.208
0,0.5,1,0,tb,3,0,0.23076923076923078,Chicago Cubs,8.5,41674,2.1,0.286,51,11.4,33173,7.778428571428571,0.496,0.218,0.162,0.191,0.282,0.208
0,0.5,0,0,r,2,0,0.1875,Chicago Cubs,8.5,33705,2.1,0.776,51,11.4,33173,7.778428571428571,0.496,0.206,0.26,0.232,0.207,0.385
0,0.5,0,0,tb,7,3,0.4375,Chicago Cubs,8.5,33705,2.1,0.776,51,11.4,33173,7.778428571428571,0.496,0.206,0.26,0.232,0.207,0.385
1,0.5,1,0,r,3,2,0.3076923076923077,Los Angeles Angels,9.0,36497,1.19,0.893,49.9,8.1,40973,4.826047619047619,0.586,0.2,0.234,0.208,0.273,0.083
1,0.5,0,0,tb,6,2,0.3076923076923077,Los Angeles Angels,9.0,36497,1.19,0.893,49.9,8.1,40973,4.826047619047619,0.586,0.2,0.234,0.208,0.273,0.083
1,0.5,1,0,r,1,1,0.16666666666666666,Houston Astros,9.0,36180,2.56,0.555,54.9,4.7,4717803,5.590720930232559,0.688,0.194,0.251,0.226,0.152,0.286
1,0.5,1,0,tb,4,3,0.5,Houston Astros,9.0,36180,2.56,0.555,54.9,4.7,4717803,5.590720930232559,0.688,0.194,0.251,0.226,0.152,0.286
1,0.5,0,0,r,7,5,0.6666666666666666,Miami Marlins,8.5,41219,1.45,0.729,51,11.4,40944,1.2069999999999999,0.333,0.264,0.256,0.257,0.248,0.261
1,0.5,1,0,tb,14,4,0.6111111111111112,Miami Marlins,8.5,41219,1.45,0.729,51,11.4,40944,1.2069999999999999,0.333,0.264,0.256,0.257,0.248,0.261
1,0.5,0,0,r,4,2,0.3333333333333333,Milwaukee Brewers,7.5,31261,1.32,0.716,58.9,10.3,33950,4.10322641509434,0.716,0.275,0.237,0.247,0.273,0.2
