homeaway,line,hit,rightleft,opprank,last5,oppteam,pitcherID,k9,righthitters,inningspitchedlast3,kpercent,temperature,wind,fip,overunder,walkperKTeam,Kperwalk
0,6.5,1,0,13,2,Baltimore Orioles,39825,13.6,4,5.6,0.43,60,20.8,2.4380465116279066,8.5,0.36069114470842334,3.311111111111111
1,4.5,0,0,3,1,Texas Rangers,3662290,7.15,4,5.2,0.18,74.9,10.3,4.112927152317881,9.5,0.4051222351571595,1.8333333333333333
0,5.5,0,0,27,0,Oakland Athletics,41290,7.41,5,5.5,0.23,60,11.4,4.016705882352941,8.0,0.3289349670122526,3.59375
1,7.5,0,0,23,0,Colorado Rockies,32667,9.89,6,2.5999999999999996,0.23,43.1,27.5,6.328923076923077,8.0,0.28610354223433243,3.3055555555555554
1,5.5,0,0,5,2,Kansas City Royals,33263,10.2,5,5.0,0.27,58,15,3.9186666666666663,8.5,0.38786279683377306,2.1818181818181817
0,5.5,0,1,12,0,Miami Marlins,32685,8.11,7,2.15,0.2,76.9,10.3,4.24299099099099,8.5,0.2736842105263158,2.58974358974359
0,5.5,0,0,26,1,Los Angeles Dodgers,40429,8.95,8,4.7,0.25,62,12.8,7.388125654450262,8.5,0.4561586638830898,3.2
0,5.5,0,0,4,1,New York Mets,32640,8.5,5,6.0,0.26,58,15,2.752,8.5,0.3926247288503254,2.657142857142857
0,6.5,1,0,22,1,Detroit Tigers,39671,8.89,6,6.1,0.25,48.5,31.3,3.62237037037037,7.0,0.3347107438016529,5.071428571428571
1,4.5,0,0,15,0,Washington Nationals,32776,5.18,4,6.5,0.16,60,11.4,2.5713717277486907,8.0,0.3835294117647059,2.75
0,6.5,1,1,27,2,Boston Red Sox,4326697,13.68,4,5.5,0.46,58.9,19.5,1.4391345029239766,9.0,0.32358490566037734,2.5925925925925926
0,4.5,0,0,9,1,Toronto Blue Jays,4019484,10.12,8,5.5,0.3,43.1,27.5,3.9395,8.0,0.42942583732057416,2.717948717948718
0,4.5,0,1,1,0,Arizona Diamondbacks,33106,4.8,8,5.05,0.14,88.1,15,2.985333333333333,9.5,0.43187066974595845,1.5454545454545454
1,5.5,0,0,17,2,Los Angeles Angels,41009,9.94,6,6.0,0.26,58.9,19.5,2.4961860465116277,9.0,0.3483386923901393,3.5142857142857142
1,6.5,0,1,29,1,Minnesota Twins,42409,10.53,9,6.05,0.33,48.5,31.3,3.1350409356725146,7.0,0.3887005649717514,6.230769230769231
1,4.5,1,1,16,1,Atlanta Braves,39640,8.4,7,5.0,0.22,76.9,10.3,2.985333333333333,8.5,0.31287128712871287,1.7959183673469388
1,5.5,0,0,20,1,Milwaukee Brewers,4717904,7.75,5,5.55,0.2,60,20.8,4.708953642384106,8.5,0.42045454545454547,4.333333333333333
1,4.5,1,0,5,2,San Diego Padres,4872587,11.81,5,3.6666666666666665,0.35,62,12.8,3.1895,8.5,0.4155672823218997,4.9411764705882355
0,4.5,0,1,1,1,Houston Astros,32672,7.5,8,3.7,0.2,81.9,16.1,5.1626666666666665,9.0,0.3721518987341772,3.4516129032258065
0,6.5,1,1,12,1,Miami Marlins,30948,10.47,7,5.1,0.31,76.9,16.1,3.4785581395348837,8.5,0.2736842105263158,5.535714285714286
0,4.5,0,1,13,1,Baltimore Orioles,41018,7.38,7,4.55,0.18,65,25.3,7.590262295081967,8.5,0.36069114470842334,1.3
0,3.5,1,0,9,1,Toronto Blue Jays,38680,5.79,6,5.55,0.16,45,26.4,3.772315789473684,9.0,0.42942583732057416,1.0434782608695652
1,5.5,0,0,19,1,Milwaukee Brewers,38295,7.83,5,6.05,0.2,65,25.3,5.109354037267081,8.5,0.42045454545454547,2.4193548387096775
1,4.5,0,0,11,1,Chicago Cubs,4297897,6.97,5,4.1,0.18,60,8.1,6.2037464788732395,7.5,0.37676767676767675,2.0
1,4.5,0,0,6,2,San Diego Padres,4417230,9.51,3,4.0,0.25,60,13.9,2.1896619718309855,9.0,0.4155672823218997,2.806451612903226
0,5.5,1,0,27,0,Boston Red Sox,41065,8.18,3,4.6,0.2,53,17.2,7.488424242424243,10.5,0.32358490566037734,1.9787234042553192
1,5.5,0,0,14,1,Washington Nationals,4298087,11.07,4,3.6,0.31,54.9,15,3.0000983606557377,7.5,0.3835294117647059,1.2608695652173914
0,4.5,0,0,2,1,Arizona Diamondbacks,31053,5.21,5,6.5,0.16,88.1,12.8,6.456526315789474,10.0,0.43187066974595845,2.3191489361702127
0,6.5,1,1,30,0,Oakland Athletics,39636,12.94,7,5.15,0.4,54.9,15,2.496,7.5,0.3289349670122526,2.772727272727273
0,4.5,1,1,21,0,Philadelphia Phillies,33158,5.82,7,5.5,0.17,60,23,3.5989411764705883,8.5,0.4036208732694356,2.2222222222222223
0,3.5,1,0,25,2,Los Angeles Dodgers,4020158,10.21,6,4.55,0.27,60,13.9,3.1750780141843973,9.0,0.4561586638830898,3.2222222222222223
1,4.5,1,0,15,0,Atlanta Braves,4345164,7.41,5,5.5,0.23,76.9,16.1,3.834235294117647,8.5,0.31287128712871287,4.0
1,5.5,0,0,3,1,Texas Rangers,41829,6.86,4,7.5,0.24,81.9,16.1,3.007904761904762,9.0,0.4051222351571595,2.5208333333333335
1,4.5,0,0,17,1,St. Louis Cardinals,4916269,8.86,5,3.6,0.23,88.1,12.8,4.382363636363636,10.0,0.3459051724137931,3.0714285714285716
0,6.5,0,1,28,1,Seattle Mariners,5134630,9.54,8,5.0,0.28,60,8.1,1.5241456953642383,7.5,0.3301476976542137,6.9411764705882355
1,5.5,0,0,22,2,Pittsburgh Pirates,33732,9.6,6,5.5,0.29,60,23,3.179333333333333,8.5,0.3366045142296369,2.9
1,4.5,1,0,24,0,Colorado Rockies,4411979,16.88,6,0.0,0.43,45,26.4,5.4335,9.0,0.28610354223433243,1.9583333333333333
1,4.5,0,1,14,1,Washington Nationals,32620,8.89,6,4.033333333333333,0.23,58.9,5.8,5.657407407407407,8.5,0.3835294117647059,1.736842105263158
0,5.5,0,0,22,1,Detroit Tigers,3107919,8.18,6,3.05,0.22,72.8,16.1,5.398760330578512,8.5,0.3347107438016529,4.413793103448276
1,5.5,1,0,21,1,Los Angeles Angels,4720856,8.47,7,5.033333333333333,0.23,56,13.9,4.834158415841584,10.0,0.3483386923901393,2.710526315789474
0,5.5,1,0,13,1,Miami Marlins,29155,9.53,5,5.2,0.29,78,16.1,4.25,8.5,0.2736842105263158,2.5952380952380953
0,6.5,1,1,4,2,New York Mets,41054,11.3,7,5.7,0.32,63.1,17.2,2.340909090909091,8.5,0.3926247288503254,3.533333333333333
0,3.5,1,0,11,0,Baltimore Orioles,33950,6.11,5,5.5,0.16,72.1,13.9,4.237654320987654,8.5,0.36069114470842334,2.5714285714285716
