homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
0,34.5,1,Point Guard,23,pra,0.5,0.4,0.61,16,Dallas,214,-0.1,-1.4,2
0,4.5,1,Point Guard,19,3-pt,0.3,0.2,0.46,9,Dallas,214,-0.1,-1.4,2
0,4.5,1,Point Guard,29,rebounds,0.4,0.4,0.46,29,Dallas,214,-0.1,-1.4,2
0,5.5,0,Point Guard,22,assists,0.5,0.8,0.46,17,Dallas,214,-0.1,-1.4,2
1,0.5,0,Point Guard,24,3-pt,0.5,0.4,0.18,23,Okla City,238,1.6,2.5,14
1,10.5,1,Point Guard,14,points,0.8,0.6,0.0,4,Okla City,238,1.6,2.5,14
1,18.5,1,Point Guard,18,pra,0.8,0.6,0.51,8,Okla City,238,1.6,2.5,14
1,3.5,1,Point Guard,25,rebounds,0.2,0.2,0.36,25,Okla City,238,1.6,2.5,14
1,4.5,1,Point Guard,18,assists,0.6,0.6,0.61,10,Okla City,238,1.6,2.5,14
0,1.5,0,Forward,16,3-pt,0.7,0.8,0.41,18,LA Clippers,233,9.9,3.4,29
0,11.5,0,Forward,10,points,0.4,0.4,0.0,5,LA Clippers,233,9.9,3.4,29
0,19.5,0,Forward,9,pra,0.3,0.4,0.15,20,LA Clippers,233,9.9,3.4,29
0,6.5,0,Forward,5,rebounds,0.3,0.4,0.29,11,LA Clippers,233,9.9,3.4,29
0,17.5,0,Shooting Guard,12,points,0.6,0.8,0.02,8,Houston,223,-1.1,1.3,15
0,2.5,1,Shooting Guard,9,3-pt,0.7,0.8,0.39,11,Houston,223,-1.1,1.3,15
0,25.5,0,Shooting Guard,12,pra,0.7,0.8,0.69,12,Houston,223,-1.1,1.3,15
0,3.5,0,Shooting Guard,3,assists,0.3,0.2,0.75,8,Houston,223,-1.1,1.3,15
0,3.5,0,Shooting Guard,27,rebounds,0.6,0.6,0.59,25,Houston,223,-1.1,1.3,15
