homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
1,4.5,0,Power Forward,15,rebounds,0.3,0.4,0.22,10,Detroit,216,11.4,3.3,10
0,0.5,1,Small Forward,15,3-pt,0.5,0.6,0.5,15,Brooklyn,216,9.5,1.1,10
0,3.5,0,Small Forward,22,rebounds,0.5,0.6,0.26,24,Brooklyn,216,9.5,1.1,10
0,2.5,0,Point Guard,22,3-pt,0.7,0.8,0.61,25,Memphis,212,4.0,1.0,20
0,25.5,0,Point Guard,11,points,0.7,0.6,0.02,16,Memphis,212,4.0,1.0,20
0,3.5,0,Point Guard,28,rebounds,0.4,0.4,0.46,30,Memphis,212,4.0,1.0,20
0,35.5,0,Point Guard,15,pra,0.5,0.4,0.51,20,Memphis,212,4.0,1.0,20
0,6.5,0,Point Guard,13,assists,0.5,0.6,0.49,11,Memphis,212,4.0,1.0,20
0,0.5,1,Guard,2,3-pt,0.8,0.6,0.65,4,Denver,252,0.6,-0.8,32
1,0.5,0,Power Forward,3,3-pt,0.4,0.8,0.43,2,Minnesota,223,1.4,0.5,9
1,13.5,0,Power Forward,1,points,0.6,0.8,0.01,3,Minnesota,223,1.4,0.5,9
